\char INSTRUME = IRAC
\char CHNLNUM = 4
\char APERNAME = IRAC_Center_of_8.0umSub-array
\int A_ORDER = 3
\int B_ORDER = 3
\int AP_ORDER = 3
\int BP_ORDER = 3
\real CRPIX1 =      16.50
\real CRPIX2 =      16.50
\real ROT_OFFSET =    90.589880
|cdelt1      |cdelt2       |beta     |amax  |bmax  |pow1|pow2|acoeff       |bcoeff       |apcoeff      |bpcoeff      |
|real        |real         |real     |real  |real  |int |int |real         |real         |real         |real         |
|deg/pix     |deg/pix      |deg      |pix   |pix   |NULL|NULL|NULL         |NULL         |NULL         |NULL         |
 -0.000334003  0.000331827 -1.105337  0.148  0.263    0    1    0.000E+00    0.000E+00    5.121E-07     1.618E-06
 -0.000334003  0.000331827 -1.105337  0.148  0.263    0    2    2.708E-05    1.005E-04   -2.707E-05    -1.005E-04
 -0.000334003  0.000331827 -1.105337  0.148  0.263    0    3    2.499E-09   -1.941E-07    4.005E-09     2.097E-07
 -0.000334003  0.000331827 -1.105337  0.148  0.263    1    0    0.000E+00    0.000E+00    7.127E-07     5.153E-07
 -0.000334003  0.000331827 -1.105337  0.148  0.263    1    1    7.880E-05    4.955E-05   -7.880E-05    -4.956E-05
 -0.000334003  0.000331827 -1.105337  0.148  0.263    1    2   -1.738E-07    2.122E-08    1.916E-07    -4.376E-09
 -0.000334003  0.000331827 -1.105337  0.148  0.263    2    0    8.472E-05    1.325E-05   -8.475E-05    -1.329E-05
 -0.000334003  0.000331827 -1.105337  0.148  0.263    2    1    3.166E-08   -1.854E-07   -9.816E-09     1.946E-07
 -0.000334003  0.000331827 -1.105337  0.148  0.263    3    0   -1.903E-07   -1.211E-09    2.045E-07     3.263E-09
