# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Oct 24 16:01:29 CEST 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 4.00000 0.0900000036 1.0816895926    0.090 -0.510  3.4375  2.604    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.05e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.044 11.839 11.148 9.921 8.285 6.354 4.000 3.401 3.044
0.0152 0.01508 4.00000 0.1000000015 1.1711064122    0.100 -0.414  3.4418  2.572    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.83e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.806 11.530 10.841 9.635 8.016 6.095 3.765 3.149 2.809
0.0152 0.01508 4.00000 0.1200000122 1.3193155232    0.120 -0.230  3.4550  2.519    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.346 10.906 10.202 9.049 7.476 5.580 3.323 2.637 2.350
0.0152 0.01508 4.00000 0.1400000006 1.4384526719    0.140 -0.054  3.4737  2.485    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.905 10.323 9.550 8.450 6.936 5.069 2.930 2.131 1.898
0.0152 0.01508 4.00000 0.1511580795 1.4956978250    0.151  0.030  3.4838  2.474    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.695 10.069 9.254 8.181 6.688 4.831 2.742 1.895 1.681
0.0152 0.01508 4.00000 0.1727226079 1.5921694330    0.173  0.171  3.5003  2.457    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.342 9.652 8.744 7.700 6.253 4.418 2.427 1.522 1.328
0.0152 0.01508 4.00000 0.1939888149 1.6730782708    0.194  0.295  3.5139  2.438    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.44e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 4.033 9.265 8.233 7.182 5.805 4.016 2.157 1.223 1.034
0.0152 0.01508 4.00000 0.2126915306 1.7352413374    0.213  0.385  3.5239  2.429    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.809 8.972 7.824 6.752 5.444 3.705 1.963 1.018 0.831
0.0152 0.01508 4.00000 0.2378658652 1.8085167354    0.238  0.493  3.5356  2.416    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.537 8.618 7.294 6.166 4.963 3.317 1.731 0.781 0.598
0.0152 0.01508 4.00000 0.2596095800 1.8641254866    0.260  0.577  3.5444  2.405    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.91e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.328 8.340 6.873 5.688 4.567 3.021 1.553 0.606 0.426
0.0152 0.01508 4.00000 0.2957448661 1.9443130393    0.296  0.695  3.5564  2.392    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.37e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.034 7.923 6.291 5.035 4.013 2.624 1.300 0.365 0.191
0.0152 0.01508 4.00000 0.3000000119 1.9529139769    0.300  0.708  3.5577  2.390    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.57e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 3.000 7.876 6.227 4.964 3.951 2.580 1.270 0.337 0.164
0.0152 0.01508 4.00000 0.3246324360 1.9997662622    0.325  0.772  3.5642  2.386    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.47e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.839 7.629 5.919 4.626 3.655 2.375 1.130 0.208 0.040
0.0152 0.01508 4.00000 0.3500000238 2.0434175133    0.350  0.836  3.5703  2.380    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.51e-12      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 2.681 7.388 5.630 4.312 3.374 2.181 0.990 0.080 -0.084
